Sigla;Código;Município;INPC - capitais - índice (dez. 1993=100) (2023.01);Cesta básica - feijão - preço mensal - INATIVA (2023.01);Cesta básica - arroz - preço mensal - INATIVA (2023.01);Cesta básica - pão - preço mensal - INATIVA (2023.01);Cesta básica - café - preço mensal - INATIVA (2023.01);
MG;3109006;Brumadinho;;;;;;
MG;3109105;Bueno Brandão;;;;;;
MG;3109204;Buenópolis;;;;;;
MG;3109253;Bugre;;;;;;
MG;3109303;Buritis;;;;;;
MG;3109402;Buritizeiro;;;;;;
MG;3109451;Cabeceira Grande;;;;;;
MG;3109501;Cabo Verde;;;;;;
MG;3109600;Cachoeira da Prata;;;;;;
MG;3109709;Cachoeira de Minas;;;;;;
MG;3109808;Cachoeira Dourada;;;;;;
MG;3109907;Caetanópolis;;;;;;
MG;3110004;Caeté;;;;;;
MG;3110103;Caiana;;;;;;
MG;3110202;Cajuri;;;;;;
MG;3110301;Caldas;;;;;;
MG;3110400;Camacho;;;;;;
MG;3110509;Camanducaia;;;;;;
MG;3110608;Cambuí;;;;;;
MG;3110707;Cambuquira;;;;;;
MG;3110806;Campanário;;;;;;
MG;3110905;Campanha;;;;;;
MG;3111002;Campestre;;;;;;
MG;3111101;Campina Verde;;;;;;
MG;3111150;Campo Azul;;;;;;
MG;3111200;Campo Belo;;;;;;
MG;3111309;Campo do Meio;;;;;;
MG;3111408;Campo Florido;;;;;;
MG;3111507;Campos Altos;;;;;;
MG;3111606;Campos Gerais;;;;;;
MG;3111705;Canaã;;;;;;
MG;3111804;Canápolis;;;;;;
MG;3111903;Cana Verde;;;;;;
MG;3112000;Candeias;;;;;;
MG;3112059;Cantagalo;;;;;;
MG;3112109;Caparaó;;;;;;
MG;3112208;Capela Nova;;;;;;
MG;3112307;Capelinha;;;;;;
MG;3112406;Capetinga;;;;;;
MG;3112505;Capim Branco;;;;;;
MG;3112604;Capinópolis;;;;;;
MG;3112653;Capitão Andrade;;;;;;
MG;3112703;Capitão Enéas;;;;;;
MG;3112802;Capitólio;;;;;;
MG;3112901;Caputira;;;;;;
MG;3113008;Caraí;;;;;;
MG;3113107;Caranaíba;;;;;;
MG;3113206;Carandaí;;;;;;
MG;3113305;Carangola;;;;;;
MG;3113404;Caratinga;;;;;;
MG;3113503;Carbonita;;;;;;
MG;3113602;Careaçu;;;;;;
MG;3113701;Carlos Chagas;;;;;;
MG;3113800;Carmésia;;;;;;
MG;3113909;Carmo da Cachoeira;;;;;;
MG;3114006;Carmo da Mata;;;;;;
MG;3114105;Carmo de Minas;;;;;;
MG;3114204;Carmo do Cajuru;;;;;;
MG;3114303;Carmo do Paranaíba;;;;;;
MG;3114402;Carmo do Rio Claro;;;;;;
MG;3114501;Carmópolis de Minas;;;;;;
MG;3114550;Carneirinho;;;;;;
MG;3114600;Carrancas;;;;;;
MG;3114709;Carvalhópolis;;;;;;
MG;3114808;Carvalhos;;;;;;
MG;3114907;Casa Grande;;;;;;
MG;3115003;Cascalho Rico;;;;;;
MG;3115102;Cássia;;;;;;
MG;3115201;Conceição da Barra de Minas;;;;;;
MG;3115300;Cataguases;;;;;;
MG;3115359;Catas Altas;;;;;;
MG;3115409;Catas Altas da Noruega;;;;;;
MG;3115458;Catuji;;;;;;
MG;3115474;Catuti;;;;;;
MG;3115508;Caxambu;;;;;;
MG;3115607;Cedro do Abaeté;;;;;;
MG;3115706;Central de Minas;;;;;;
MG;3115805;Centralina;;;;;;
MG;3115904;Chácara;;;;;;
MG;3116001;Chalé;;;;;;
MG;3116100;Chapada do Norte;;;;;;
MG;3116159;Chapada Gaúcha;;;;;;
MG;3116209;Chiador;;;;;;
MG;3116308;Cipotânea;;;;;;
MG;3116407;Claraval;;;;;;
MG;3116506;Claro dos Poções;;;;;;
MG;3116605;Cláudio;;;;;;
MG;3116704;Coimbra;;;;;;
MG;3116803;Coluna;;;;;;
MG;3116902;Comendador Gomes;;;;;;
MG;3117009;Comercinho;;;;;;
MG;3117108;Conceição da Aparecida;;;;;;
MG;3117207;Conceição das Pedras;;;;;;
MG;3117306;Conceição das Alagoas;;;;;;
MG;3117405;Conceição de Ipanema;;;;;;
MG;3117504;Conceição do Mato Dentro;;;;;;
MG;3117603;Conceição do Pará;;;;;;
MG;3117702;Conceição do Rio Verde;;;;;;
MG;3117801;Conceição dos Ouros;;;;;;
MG;3117836;Cônego Marinho;;;;;;
MG;3117876;Confins;;;;;;
MG;3117900;Congonhal;;;;;;
MG;3118007;Congonhas;;;;;;
MG;3118106;Congonhas do Norte;;;;;;
MG;3118205;Conquista;;;;;;
MG;3118304;Conselheiro Lafaiete;;;;;;
MG;3118403;Conselheiro Pena;;;;;;
MG;3118502;Consolação;;;;;;
MG;3118601;Contagem;;;;;;
MG;3118700;Coqueiral;;;;;;
MG;3118809;Coração de Jesus;;;;;;
MG;3118908;Cordisburgo;;;;;;
MG;3119005;Cordislândia;;;;;;
MG;3119104;Corinto;;;;;;
MG;3119203;Coroaci;;;;;;
MG;3119302;Coromandel;;;;;;
MG;3119401;Coronel Fabriciano;;;;;;
MG;3119500;Coronel Murta;;;;;;
MG;3119609;Coronel Pacheco;;;;;;
MG;3119708;Coronel Xavier Chaves;;;;;;
MG;3119807;Córrego Danta;;;;;;
MG;3119906;Córrego do Bom Jesus;;;;;;
MG;3119955;Córrego Fundo;;;;;;
MG;3120003;Córrego Novo;;;;;;
MG;3120102;Couto de Magalhães de Minas;;;;;;
MG;3120151;Crisólita;;;;;;
MG;3120201;Cristais;;;;;;
MG;3120300;Cristália;;;;;;
MG;3120409;Cristiano Otoni;;;;;;
MG;3120508;Cristina;;;;;;
MG;3120607;Crucilândia;;;;;;
MG;3120706;Cruzeiro da Fortaleza;;;;;;
MG;3120805;Cruzília;;;;;;
MG;3120839;Cuparaque;;;;;;
MG;3120870;Curral de Dentro;;;;;;
MG;3120904;Curvelo;;;;;;
MG;3121001;Datas;;;;;;
MG;3121100;Delfim Moreira;;;;;;
MG;3121209;Delfinópolis;;;;;;
MG;3121258;Delta;;;;;;
MG;3121308;Descoberto;;;;;;
MG;3121407;Desterro de Entre Rios;;;;;;
MG;3121506;Desterro do Melo;;;;;;
MG;3121605;Diamantina;;;;;;
MG;3121704;Diogo de Vasconcelos;;;;;;
MG;3121803;Dionísio;;;;;;
MG;3121902;Divinésia;;;;;;
MG;3122009;Divino;;;;;;
MG;3122108;Divino das Laranjeiras;;;;;;
MG;3122207;Divinolândia de Minas;;;;;;
MG;3122306;Divinópolis;;;;;;
MG;3122355;Divisa Alegre;;;;;;
MG;3122405;Divisa Nova;;;;;;
MG;3122454;Divisópolis;;;;;;
MG;3122470;Dom Bosco;;;;;;
MG;3122504;Dom Cavati;;;;;;
MG;3122603;Dom Joaquim;;;;;;
MG;3122702;Dom Silvério;;;;;;
MG;3122801;Dom Viçoso;;;;;;
MG;3122900;Dona Eusébia;;;;;;
MG;3123007;Dores de Campos;;;;;;
MG;3123106;Dores de Guanhães;;;;;;
MG;3123205;Dores do Indaiá;;;;;;
MG;3123304;Dores do Turvo;;;;;;
MG;3123403;Doresópolis;;;;;;
MG;3123502;Douradoquara;;;;;;
MG;3123528;Durandé;;;;;;
MG;3123601;Elói Mendes;;;;;;
MG;3123700;Engenheiro Caldas;;;;;;
MG;3123809;Engenheiro Navarro;;;;;;
MG;3123858;Entre Folhas;;;;;;
MG;3123908;Entre Rios de Minas;;;;;;
MG;3124005;Ervália;;;;;;
MG;3124104;Esmeraldas;;;;;;
MG;3124203;Espera Feliz;;;;;;
MG;3124302;Espinosa;;;;;;
MG;3124401;Espírito Santo do Dourado;;;;;;
MG;3124500;Estiva;;;;;;
MG;3124609;Estrela Dalva;;;;;;
MG;3124708;Estrela do Indaiá;;;;;;
MG;3124807;Estrela do Sul;;;;;;
MG;3124906;Eugenópolis;;;;;;
MG;3125002;Ewbank da Câmara;;;;;;
MG;3125101;Extrema;;;;;;
MG;3125200;Fama;;;;;;
MG;3125309;Faria Lemos;;;;;;
MG;3125408;Felício dos Santos;;;;;;
MG;3125507;São Gonçalo do Rio Preto;;;;;;
MG;3125606;Felisburgo;;;;;;
MG;3125705;Felixlândia;;;;;;
MG;3125804;Fernandes Tourinho;;;;;;
MG;3125903;Ferros;;;;;;
MG;3125952;Fervedouro;;;;;;
MG;3126000;Florestal;;;;;;
MG;3126109;Formiga;;;;;;
MG;3126208;Formoso;;;;;;
MG;3126307;Fortaleza de Minas;;;;;;
MG;3126406;Fortuna de Minas;;;;;;
MG;3126505;Francisco Badaró;;;;;;
MG;3126604;Francisco Dumont;;;;;;
MG;3126703;Francisco Sá;;;;;;
MG;3126752;Franciscópolis;;;;;;
MG;3126802;Frei Gaspar;;;;;;
MG;3126901;Frei Inocêncio;;;;;;
MG;3126950;Frei Lagonegro;;;;;;
MG;3127008;Fronteira;;;;;;
MG;3127057;Fronteira dos Vales;;;;;;
MG;3127073;Fruta de Leite;;;;;;
MG;3127107;Frutal;;;;;;
MG;3127206;Funilândia;;;;;;
MG;3127305;Galiléia;;;;;;
MG;3127339;Gameleiras;;;;;;
MG;3127354;Glaucilândia;;;;;;
MG;3127370;Goiabeira;;;;;;
MG;3127388;Goianá;;;;;;
MG;3127404;Gonçalves;;;;;;
MG;3127503;Gonzaga;;;;;;
MG;3127602;Gouveia;;;;;;
MG;3127701;Governador Valadares;;;;;;
MG;3127800;Grão Mogol;;;;;;
MG;3127909;Grupiara;;;;;;
MG;3128006;Guanhães;;;;;;
MG;3128105;Guapé;;;;;;
MG;3128204;Guaraciaba;;;;;;
MG;3128253;Guaraciama;;;;;;
MG;3128303;Guaranésia;;;;;;
MG;3128402;Guarani;;;;;;
MG;3128501;Guarará;;;;;;
MG;3128600;Guarda-Mor;;;;;;
MG;3128709;Guaxupé;;;;;;
MG;3128808;Guidoval;;;;;;
MG;3128907;Guimarânia;;;;;;
MG;3129004;Guiricema;;;;;;
MG;3129103;Gurinhatã;;;;;;
MG;3129202;Heliodora;;;;;;
MG;3129301;Iapu;;;;;;
MG;3129400;Ibertioga;;;;;;
MG;3129509;Ibiá;;;;;;
MG;3129608;Ibiaí;;;;;;
MG;3129657;Ibiracatu;;;;;;
MG;3129707;Ibiraci;;;;;;
MG;3129806;Ibirité;;;;;;
MG;3129905;Ibitiúra de Minas;;;;;;
MG;3130002;Ibituruna;;;;;;
MG;3130051;Icaraí de Minas;;;;;;
MG;3130101;Igarapé;;;;;;
MG;3130200;Igaratinga;;;;;;
MG;3130309;Iguatama;;;;;;
MG;3130408;Ijaci;;;;;;
MG;3130507;Ilicínea;;;;;;
MG;3130556;Imbé de Minas;;;;;;
MG;3130606;Inconfidentes;;;;;;
MG;3130655;Indaiabira;;;;;;
MG;3130705;Indianópolis;;;;;;
MG;3130804;Ingaí;;;;;;
MG;3130903;Inhapim;;;;;;
MG;3131000;Inhaúma;;;;;;
MG;3131109;Inimutaba;;;;;;
MG;3131158;Ipaba;;;;;;
MG;3131208;Ipanema;;;;;;
MG;3131307;Ipatinga;;;;;;
MG;3131406;Ipiaçu;;;;;;
MG;3131505;Ipuiúna;;;;;;
MG;3131604;Iraí de Minas;;;;;;
MG;3131703;Itabira;;;;;;
MG;3131802;Itabirinha de Mantena;;;;;;
MG;3131901;Itabirito;;;;;;
MG;3132008;Itacambira;;;;;;
MG;3132107;Itacarambi;;;;;;
MG;3132206;Itaguara;;;;;;
MG;3132305;Itaipé;;;;;;
MG;3132404;Itajubá;;;;;;
MG;3132503;Itamarandiba;;;;;;
MG;3132602;Itamarati de Minas;;;;;;
MG;3132701;Itambacuri;;;;;;
MG;3132800;Itambé do Mato Dentro;;;;;;
MG;3132909;Itamogi;;;;;;
MG;3133006;Itamonte;;;;;;
MG;3133105;Itanhandu;;;;;;
MG;3133204;Itanhomi;;;;;;
MG;3133303;Itaobim;;;;;;
MG;3133402;Itapagipe;;;;;;
MG;3133501;Itapecerica;;;;;;
MG;3133600;Itapeva;;;;;;
MG;3133709;Itatiaiuçu;;;;;;
MG;3133758;Itaú de Minas;;;;;;
MG;3133808;Itaúna;;;;;;
MG;3133907;Itaverava;;;;;;
MG;3134004;Itinga;;;;;;
MG;3134103;Itueta;;;;;;
MG;3134202;Ituiutaba;;;;;;
MG;3134301;Itumirim;;;;;;
MG;3134400;Iturama;;;;;;
MG;3134509;Itutinga;;;;;;
MG;3134608;Jaboticatubas;;;;;;
MG;3134707;Jacinto;;;;;;
MG;3134806;Jacuí;;;;;;
MG;3134905;Jacutinga;;;;;;
MG;3135001;Jaguaraçu;;;;;;
MG;3135050;Jaíba;;;;;;
MG;3135076;Jampruca;;;;;;
MG;3135100;Janaúba;;;;;;
MG;3135209;Januária;;;;;;
MG;3135308;Japaraíba;;;;;;
MG;3135357;Japonvar;;;;;;
MG;3135407;Jeceaba;;;;;;
MG;3135456;Jenipapo de Minas;;;;;;
MG;3135506;Jequeri;;;;;;
MG;3135605;Jequitaí;;;;;;
MG;3135704;Jequitibá;;;;;;
MG;3135803;Jequitinhonha;;;;;;
MG;3135902;Jesuânia;;;;;;
MG;3136009;Joaíma;;;;;;
MG;3136108;Joanésia;;;;;;
MG;3136207;João Monlevade;;;;;;
MG;3136306;João Pinheiro;;;;;;
MG;3136405;Joaquim Felício;;;;;;
MG;3136504;Jordânia;;;;;;
MG;3136520;José Gonçalves de Minas;;;;;;
MG;3136553;José Raydan;;;;;;
MG;3136579;Josenópolis;;;;;;
MG;3136603;Nova União;;;;;;
MG;3136652;Juatuba;;;;;;
MG;3136702;Juiz de Fora;;;;;;
MG;3136801;Juramento;;;;;;
MG;3136900;Juruaia;;;;;;
MG;3136959;Juvenília;;;;;;
MG;3137007;Ladainha;;;;;;
MG;3137106;Lagamar;;;;;;
MG;3137205;Lagoa da Prata;;;;;;
MG;3137304;Lagoa dos Patos;;;;;;
MG;3137403;Lagoa Dourada;;;;;;
MG;3137502;Lagoa Formosa;;;;;;
MG;3137536;Lagoa Grande;;;;;;
MG;3137601;Lagoa Santa;;;;;;
MG;3137700;Lajinha;;;;;;
MG;3137809;Lambari;;;;;;
MG;3137908;Lamim;;;;;;
MG;3138005;Laranjal;;;;;;
MG;3138104;Lassance;;;;;;
MG;3138203;Lavras;;;;;;
MG;3138302;Leandro Ferreira;;;;;;
MG;3138351;Leme do Prado;;;;;;
MG;3138401;Leopoldina;;;;;;
MG;3138500;Liberdade;;;;;;
MG;3138609;Lima Duarte;;;;;;
MG;3138625;Limeira do Oeste;;;;;;
MG;3138658;Lontra;;;;;;
MG;3138674;Luisburgo;;;;;;
MG;3138682;Luislândia;;;;;;
MG;3138708;Luminárias;;;;;;
MG;3138807;Luz;;;;;;
MG;3138906;Machacalis;;;;;;
MG;3139003;Machado;;;;;;
MG;3139102;Madre de Deus de Minas;;;;;;
MG;3139201;Malacacheta;;;;;;
MG;3139250;Mamonas;;;;;;
MG;3139300;Manga;;;;;;
MG;3139409;Manhuaçu;;;;;;
MG;3139508;Manhumirim;;;;;;
MG;3139607;Mantena;;;;;;
MG;3139706;Maravilhas;;;;;;
MG;3139805;Mar de Espanha;;;;;;
MG;3139904;Maria da Fé;;;;;;
MG;3140001;Mariana;;;;;;
MG;3140100;Marilac;;;;;;
MG;3140159;Mário Campos;;;;;;
MG;3140209;Maripá de Minas;;;;;;
MG;3140308;Marliéria;;;;;;
MG;3140407;Marmelópolis;;;;;;
MG;3140506;Martinho Campos;;;;;;
MG;3140530;Martins Soares;;;;;;
MG;3140555;Mata Verde;;;;;;
MG;3140605;Materlândia;;;;;;
MG;3140704;Mateus Leme;;;;;;
MG;3140803;Matias Barbosa;;;;;;
MG;3140852;Matias Cardoso;;;;;;
MG;3140902;Matipó;;;;;;
MG;3141009;Mato Verde;;;;;;
MG;3141108;Matozinhos;;;;;;
MG;3141207;Matutina;;;;;;
MG;3141306;Medeiros;;;;;;
MG;3141405;Medina;;;;;;
MG;3141504;Mendes Pimentel;;;;;;
MG;3141603;Mercês;;;;;;
MG;3141702;Mesquita;;;;;;
MG;3141801;Minas Novas;;;;;;
MG;3141900;Minduri;;;;;;
MG;3142007;Mirabela;;;;;;
MG;3142106;Miradouro;;;;;;
MG;3142205;Miraí;;;;;;
MG;3142254;Miravânia;;;;;;
MG;3142304;Moeda;;;;;;
MG;3142403;Moema;;;;;;
MG;3142502;Monjolos;;;;;;
MG;3142601;Monsenhor Paulo;;;;;;
MG;3142700;Montalvânia;;;;;;
MG;3142809;Monte Alegre de Minas;;;;;;
MG;3142908;Monte Azul;;;;;;
MG;3143005;Monte Belo;;;;;;
MG;3143104;Monte Carmelo;;;;;;
MG;3143153;Monte Formoso;;;;;;
MG;3143203;Monte Santo de Minas;;;;;;
MG;3143302;Montes Claros;;;;;;
MG;3143401;Monte Sião;;;;;;
MG;3143450;Montezuma;;;;;;
MG;3143500;Morada Nova de Minas;;;;;;
MG;3143609;Morro da Garça;;;;;;
MG;3143708;Morro do Pilar;;;;;;
MG;3143807;Munhoz;;;;;;
MG;3143906;Muriaé;;;;;;
MG;3144003;Mutum;;;;;;
MG;3144102;Muzambinho;;;;;;
MG;3144201;Nacip Raydan;;;;;;
MG;3144300;Nanuque;;;;;;
MG;3144359;Naque;;;;;;
MG;3144375;Natalândia;;;;;;
MG;3144409;Natércia;;;;;;
MG;3144508;Nazareno;;;;;;
MG;3144607;Nepomuceno;;;;;;
MG;3144656;Ninheira;;;;;;
MG;3144672;Nova Belém;;;;;;
MG;3144706;Nova Era;;;;;;
MG;3144805;Nova Lima;;;;;;
MG;3144904;Nova Módica;;;;;;
MG;3145000;Nova Ponte;;;;;;
MG;3145059;Nova Porteirinha;;;;;;
MG;3145109;Nova Resende;;;;;;
MG;3145208;Nova Serrana;;;;;;
MG;3145307;Novo Cruzeiro;;;;;;
MG;3145356;Novo Oriente de Minas;;;;;;
MG;3145372;Novorizonte;;;;;;
MG;3145406;Olaria;;;;;;
MG;3145455;Olhos-d'Água;;;;;;
MG;3145505;Olímpio Noronha;;;;;;
MG;3145604;Oliveira;;;;;;
MG;3145703;Oliveira Fortes;;;;;;
MG;3145802;Onça de Pitangui;;;;;;
MG;3145851;Oratórios;;;;;;
MG;3145877;Orizânia;;;;;;
MG;3145901;Ouro Branco;;;;;;
MG;3146008;Ouro Fino;;;;;;
MG;3146107;Ouro Preto;;;;;;
MG;3146206;Ouro Verde de Minas;;;;;;
MG;3146255;Padre Carvalho;;;;;;
MG;3146305;Padre Paraíso;;;;;;
MG;3146404;Paineiras;;;;;;
MG;3146503;Pains;;;;;;
MG;3146552;Pai Pedro;;;;;;
MG;3146602;Paiva;;;;;;
MG;3146701;Palma;;;;;;
MG;3146750;Palmópolis;;;;;;
MG;3146909;Papagaios;;;;;;
MG;3147006;Paracatu;;;;;;
MG;3147105;Pará de Minas;;;;;;
MG;3147204;Paraguaçu;;;;;;
MG;3147303;Paraisópolis;;;;;;
MG;3147402;Paraopeba;;;;;;
MG;3147501;Passabém;;;;;;
MG;3147600;Passa Quatro;;;;;;
MG;3147709;Passa Tempo;;;;;;
MG;3147808;Passa-Vinte;;;;;;
MG;3147907;Passos;;;;;;
MG;3147956;Patis;;;;;;
MG;3148004;Patos de Minas;;;;;;
MG;3148103;Patrocínio;;;;;;
MG;3148202;Patrocínio do Muriaé;;;;;;
MG;3148301;Paula Cândido;;;;;;
MG;3148400;Paulistas;;;;;;
MG;3148509;Pavão;;;;;;
MG;3148608;Peçanha;;;;;;
MG;3148707;Pedra Azul;;;;;;
MG;3148756;Pedra Bonita;;;;;;
MG;3148806;Pedra do Anta;;;;;;
MG;3148905;Pedra do Indaiá;;;;;;
MG;3149002;Pedra Dourada;;;;;;
MG;3149101;Pedralva;;;;;;
MG;3149150;Pedras de Maria da Cruz;;;;;;
MG;3149200;Pedrinópolis;;;;;;
MG;3149309;Pedro Leopoldo;;;;;;
MG;3149408;Pedro Teixeira;;;;;;
MG;3149507;Pequeri;;;;;;
MG;3149606;Pequi;;;;;;
MG;3149705;Perdigão;;;;;;
MG;3149804;Perdizes;;;;;;
MG;3149903;Perdões;;;;;;
MG;3149952;Periquito;;;;;;
MG;3150000;Pescador;;;;;;
MG;3150109;Piau;;;;;;
MG;3150158;Piedade de Caratinga;;;;;;
MG;3150208;Piedade de Ponte Nova;;;;;;
MG;3150307;Piedade do Rio Grande;;;;;;
MG;3150406;Piedade dos Gerais;;;;;;
MG;3150505;Pimenta;;;;;;
MG;3150539;Pingo-d'Água;;;;;;
MG;3150570;Pintópolis;;;;;;
MG;3150604;Piracema;;;;;;
MG;3150703;Pirajuba;;;;;;
MG;3150802;Piranga;;;;;;
MG;3150901;Piranguçu;;;;;;
MG;3151008;Piranguinho;;;;;;
MG;3151107;Pirapetinga;;;;;;
MG;3151206;Pirapora;;;;;;
MG;3151305;Piraúba;;;;;;
MG;3151404;Pitangui;;;;;;
MG;3151503;Piumhi;;;;;;
MG;3151602;Planura;;;;;;
MG;3151701;Poço Fundo;;;;;;
MG;3151800;Poços de Caldas;;;;;;
MG;3151909;Pocrane;;;;;;
MG;3152006;Pompéu;;;;;;
MG;3152105;Ponte Nova;;;;;;
MG;3152131;Ponto Chique;;;;;;
MG;3152170;Ponto dos Volantes;;;;;;
MG;3152204;Porteirinha;;;;;;
MG;3152303;Porto Firme;;;;;;
MG;3152402;Poté;;;;;;
MG;3152501;Pouso Alegre;;;;;;
MG;3152600;Pouso Alto;;;;;;
MG;3152709;Prados;;;;;;
MG;3152808;Prata;;;;;;
MG;3152907;Pratápolis;;;;;;
MG;3153004;Pratinha;;;;;;
MG;3153103;Presidente Bernardes;;;;;;
MG;3153202;Presidente Juscelino;;;;;;
MG;3153301;Presidente Kubitschek;;;;;;
MG;3153400;Presidente Olegário;;;;;;
MG;3153509;Alto Jequitibá;;;;;;
MG;3153608;Prudente de Morais;;;;;;
MG;3153707;Quartel Geral;;;;;;
MG;3153806;Queluzito;;;;;;
MG;3153905;Raposos;;;;;;
MG;3154002;Raul Soares;;;;;;
MG;3154101;Recreio;;;;;;
MG;3154150;Reduto;;;;;;
MG;3154200;Resende Costa;;;;;;
MG;3154309;Resplendor;;;;;;
MG;3154408;Ressaquinha;;;;;;
MG;3154457;Riachinho;;;;;;
MG;3154507;Riacho dos Machados;;;;;;
MG;3154606;Ribeirão das Neves;;;;;;
MG;3154705;Ribeirão Vermelho;;;;;;
MG;3154804;Rio Acima;;;;;;
MG;3154903;Rio Casca;;;;;;
MG;3155009;Rio Doce;;;;;;
MG;3155108;Rio do Prado;;;;;;
MG;3155207;Rio Espera;;;;;;
MG;3155306;Rio Manso;;;;;;
MG;3155405;Rio Novo;;;;;;
MG;3155504;Rio Paranaíba;;;;;;
MG;3155603;Rio Pardo de Minas;;;;;;
MG;3155702;Rio Piracicaba;;;;;;
MG;3155801;Rio Pomba;;;;;;
MG;3155900;Rio Preto;;;;;;
MG;3156007;Rio Vermelho;;;;;;
MG;3156106;Ritápolis;;;;;;
MG;3156205;Rochedo de Minas;;;;;;
MG;3156304;Rodeiro;;;;;;
MG;3156403;Romaria;;;;;;
MG;3156452;Rosário da Limeira;;;;;;
MG;3156502;Rubelita;;;;;;
MG;3156601;Rubim;;;;;;
MG;3156700;Sabará;;;;;;
MG;3156809;Sabinópolis;;;;;;
MG;3156908;Sacramento;;;;;;
MG;3157005;Salinas;;;;;;
MG;3157104;Salto da Divisa;;;;;;
MG;3157203;Santa Bárbara;;;;;;
MG;3157252;Santa Bárbara do Leste;;;;;;
MG;3157278;Santa Bárbara do Monte Verde;;;;;;
MG;3157302;Santa Bárbara do Tugúrio;;;;;;
MG;3157336;Santa Cruz de Minas;;;;;;
