Species,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Category.Two.Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Arabica,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,0,0.0,2,1300.0,1300.0,1300.0
Arabica,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,0,0.0,0,1320.0,1320.0,1320.0
Arabica,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,87.08,0.0,0,0.0,0,2112.0,2112.0,2112.0
Arabica,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0.11,0,0.0,1,,,
Arabica,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0,0.0,2,1250.0,1250.0,1250.0
Arabica,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,86.92,0.05,0,0.0,2,,,
Arabica,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,0,0.0,1,1950.0,1950.0,1950.0
Arabica,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,86.67,0.1,0,0.0,3,1400.0,1400.0,1400.0
Arabica,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,0.0,0,0.0,0,1200.0,1200.0,1200.0
Arabica,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,86.58,0.08,0,0.0,2,,,
Arabica,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,86.5,0.11,0,0.0,1,,,
Arabica,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0.12,0,0.0,2,1300.0,1300.0,1300.0
Arabica,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,0.0,0,0.0,0,1300.0,1300.0,1300.0
Arabica,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0.1,0,0.0,3,1750.0,1800.0,1775.0
Arabica,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,0,0.0,1,1800.0,1800.0,1800.0
Arabica,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25,0.0,1,0.0,4,,,
Arabica,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,86.25,0.0,2,0.0,1,,,
Arabica,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.25,0.1,0,0.0,2,,,
Arabica,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,86.17,0.0,0,0.0,0,1941.0,1941.0,1941.0
Arabica,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,0.1,1,0.0,9,1300.0,1300.0,1300.0
Arabica,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,86.17,0.08,0,0.0,2,12.0,12.0,12.0
Arabica,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,86.17,0.01,0,0.0,3,12.0,12.0,12.0
Arabica,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0.12,0,0.0,0,1000.0,1000.0,1000.0
Arabica,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,2,1754.0,1754.0,1754.0
Arabica,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,2,1250.0,1250.0,1250.0
Arabica,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,86.0,0.0,0,0.0,0,,,
Arabica,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0,0.12,1,0.0,1,900.0,1500.0,1200.0
Arabica,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0,0.11,0,0.0,1,1520.0,2200.0,1860.0
Arabica,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0,0.1,0,0.0,0,1400.0,1900.0,1650.0
Arabica,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,86.0,0.01,0,0.0,4,1500.0,2000.0,1750.0
Arabica,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,8.17,86.0,0.0,0,0.0,0,426.72,426.72,426.72
Arabica,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92,0.1,0,1.0,3,,,
Arabica,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92,0.12,0,0.0,0,1400.0,1900.0,1650.0
Arabica,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,0.0,1,0.0,0,1800.0,1800.0,1800.0
Arabica,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.08,0,1.0,0,1600.0,1600.0,1600.0
Arabica,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83,0.1,0,0.0,4,1800.0,2000.0,1900.0
Arabica,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.12,0,0.0,3,1524.0,1524.0,1524.0
Arabica,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83,0.1,0,0.0,1,1417.32,1417.32,1417.32
Arabica,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,85.75,0.09,0,4.0,7,,,
Arabica,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75,0.1,4,0.0,6,,,
Arabica,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,0.12,0,0.0,1,1700.0,1700.0,1700.0
Arabica,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58,0.1,0,0.0,3,1500.0,1500.0,1500.0
Arabica,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,0,0.0,0,1300.0,1400.0,1350.0
Arabica,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,85.58,0.0,0,0.0,1,,,
Arabica,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5,0.09,2,0.0,2,1680.0,1680.0,1680.0
Arabica,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5,0.1,0,0.0,3,1900.0,1900.0,1900.0
Arabica,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5,0.12,0,0.0,7,1800.0,2000.0,1900.0
Arabica,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,0.12,0,0.0,1,1600.0,1600.0,1600.0
Arabica,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,0.11,0,0.0,1,1706.88,1755.648,1731.264
Arabica,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,0.1,0,0.0,18,1800.0,2000.0,1900.0
Arabica,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,85.42,0.12,0,0.0,5,1950.0,1950.0,1950.0
Arabica,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,8.25,85.42,0.0,4,0.0,6,,,
Arabica,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42,0.11,0,0.0,1,1250.0,1250.0,1250.0
Arabica,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,85.42,0.01,0,0.0,0,1400.0,1400.0,1400.0
Arabica,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33,0.1,0,0.0,0,1700.0,1700.0,1700.0
Arabica,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,0.11,0,0.0,1,1770.0,1770.0,1770.0
Arabica,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,85.33,0.0,0,0.0,0,1300.0,1300.0,1300.0
Arabica,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33,0.1,0,0.0,2,1300.0,1300.0,1300.0
Arabica,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,85.33,0.0,0,0.0,2,1600.0,1600.0,1600.0
Arabica,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,85.33,0.0,0,0.0,6,1200.0,1200.0,1200.0
Arabica,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,8.08,85.33,0.05,0,0.0,2,,,
Arabica,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,8.0,85.33,0.1,0,0.0,3,,,
Arabica,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.25,0.1,0,2.0,2,,,
Arabica,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.25,0.11,0,0.0,0,1550.0,1550.0,1550.0
Arabica,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25,0.12,0,0.0,2,1550.0,1550.0,1550.0
Arabica,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,85.17,0.11,0,0.0,3,1250.0,1400.0,1325.0
Arabica,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,85.17,0.0,0,0.0,7,1400.0,1400.0,1400.0
Arabica,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,85.08,0.11,0,1.0,8,,,
Arabica,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,7.67,85.08,0.0,0,0.0,0,2560.0,2560.0,2560.0
Arabica,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,85.08,0.1,2,0.0,7,1700.0,1700.0,1700.0
Arabica,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,85.08,0.11,2,0.0,2,,,
Arabica,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,85.08,0.11,0,0.0,8,2136.0,2136.0,2136.0
Arabica,8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,8.17,85.08,0.01,1,0.0,7,,,
Arabica,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.08,0.0,0,0.0,5,,,
Arabica,7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,10.0,7.92,85.08,0.0,0,0.0,0,,,
Arabica,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8.0,85.0,0.11,0,0.0,1,1800.0,1800.0,1800.0
Arabica,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,7.83,85.0,0.0,0,0.0,3,,,
Arabica,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,85.0,0.12,1,1.0,1,1900.0,1900.0,1900.0
Arabica,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,8.08,85.0,0.09,0,0.0,3,1300.0,1300.0,1300.0
Arabica,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,7.83,85.0,0.11,0,5.0,7,1.0,1.0,1.0
Arabica,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,7.83,85.0,0.0,0,0.0,5,1580.0,1580.0,1580.0
Arabica,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8.0,85.0,0.12,0,0.0,3,1100.0,1100.0,1100.0
Arabica,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,7.83,85.0,0.0,0,0.0,0,1400.0,1400.0,1400.0
Arabica,7.75,7.92,7.75,7.75,8.0,8.0,10.0,10.0,10.0,7.83,85.0,0.0,0,0.0,1,,,
Arabica,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,8.0,85.0,0.04,0,0.0,1,1066.8,1584.96,1325.88
Arabica,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,7.83,84.92,0.0,1,6.0,2,,,
Arabica,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,7.83,84.92,0.12,0,0.0,1,1600.0,1950.0,1775.0
Arabica,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,7.92,84.92,0.11,0,0.0,0,800.0,800.0,800.0
Arabica,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.83,84.92,0.12,0,0.0,2,1620.0,1620.0,1620.0
Arabica,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,84.92,0.11,0,0.0,3,1600.0,1950.0,1775.0
Arabica,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,8.17,84.92,0.11,0,0.0,0,1200.0,1200.0,1200.0
Arabica,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,84.92,0.11,0,0.0,2,1200.0,1200.0,1200.0
Arabica,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.92,84.92,0.12,0,0.0,2,1000.0,1000.0,1000.0
Arabica,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,10.0,7.58,84.92,0.06,1,0.0,9,,,
Arabica,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,8.0,84.83,0.0,0,0.0,0,350.0,350.0,350.0
Arabica,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,7.83,84.83,0.12,0,0.0,1,1400.0,1900.0,1650.0
Arabica,7.67,7.75,7.75,7.75,7.83,8.0,10.0,10.0,10.0,8.08,84.83,0.0,3,0.0,15,,,
Arabica,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,10.0,8.0,84.83,0.1,0,0.0,2,1500.0,2000.0,1750.0
Arabica,7.42,7.92,7.92,8.0,7.83,7.83,10.0,10.0,10.0,7.92,84.83,0.1,0,0.0,4,1500.0,2000.0,1750.0
Arabica,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,8.0,84.75,0.12,0,0.0,0,,,
Arabica,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,7.92,84.75,0.13,0,0.0,0,1800.0,1800.0,1800.0
Arabica,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,8.17,84.75,0.11,0,0.0,4,1450.0,1450.0,1450.0
Arabica,7.75,8.0,8.0,8.33,7.67,7.92,10.0,10.0,9.33,7.75,84.75,0.15,0,0.0,3,1200.0,1200.0,1200.0
Arabica,7.83,7.58,7.58,7.83,7.75,7.67,10.0,10.0,10.0,8.5,84.75,0.18,0,0.0,2,800.0,1050.0,925.0
Arabica,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,8.0,84.67,0.0,0,0.0,2,1350.0,1350.0,1350.0
Arabica,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,84.67,0.12,0,0.0,7,1200.0,1200.0,1200.0
Arabica,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,8.08,84.67,0.12,0,0.0,0,170.0,170.0,170.0
Arabica,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,7.92,84.67,0.1,0,0.0,2,1150.0,1150.0,1150.0
Arabica,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,7.83,84.67,0.1,0,0.0,1,1600.0,1600.0,1600.0
Arabica,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,10.0,7.92,84.67,0.12,0,0.0,0,1750.0,1750.0,1750.0
Arabica,8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,10.0,7.92,84.67,0.1,0,0.0,3,1900.0,1900.0,1900.0
Arabica,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,10.0,7.67,84.67,0.08,0,0.0,1,1750.0,1750.0,1750.0
Arabica,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,8.0,84.67,0.11,0,0.0,4,1200.0,1200.0,1200.0
Arabica,8.08,7.83,7.75,7.83,7.92,8.0,10.0,10.0,9.33,7.92,84.67,0.0,1,0.0,10,,,
Arabica,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.67,0.11,0,0.0,0,1000.0,1000.0,1000.0
Arabica,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.92,84.67,0.0,0,0.0,0,1550.0,1550.0,1550.0
Arabica,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,10.0,7.83,84.67,0.11,0,0.0,0,2000.0,2000.0,2000.0
Arabica,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,10.0,7.67,84.67,0.11,0,0.0,4,1310.64,1310.64,1310.64
Arabica,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,10.0,8.0,84.67,0.12,0,0.0,4,1524.0,1524.0,1524.0
Arabica,7.83,7.58,7.67,7.92,7.92,7.83,10.0,10.0,10.0,7.92,84.67,0.13,0,0.0,3,1200.0,1200.0,1200.0
Arabica,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,10.0,7.83,84.67,0.11,0,0.0,3,1700.0,1850.0,1775.0
Arabica,7.67,7.83,7.75,7.75,7.92,7.83,10.0,10.0,10.0,7.92,84.67,0.0,0,0.0,3,,,
Arabica,7.42,7.75,7.75,8.0,8.0,7.92,10.0,10.0,10.0,7.83,84.67,0.2,0,0.0,3,1500.0,2000.0,1750.0
Arabica,7.92,7.75,7.83,7.75,7.58,7.92,10.0,10.0,10.0,7.83,84.58,0.11,0,0.0,5,1754.0,1754.0,1754.0
Arabica,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,10.0,8.08,84.58,0.0,0,0.0,4,1500.0,1500.0,1500.0
Arabica,7.92,7.83,7.58,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58,0.0,0,1.0,5,,,
Arabica,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,10.0,7.92,84.58,0.1,0,0.0,2,1800.0,1800.0,1800.0
Arabica,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.83,84.58,0.11,0,0.0,1,1524.0,1524.0,1524.0
Arabica,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,8.17,84.58,0.09,0,0.0,0,1219.2,1219.2,1219.2
Arabica,7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,10.0,7.83,84.58,0.0,0,0.0,0,1550.0,1550.0,1550.0
Arabica,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,10.0,7.92,84.58,0.0,0,0.0,5,1600.0,1900.0,1750.0
Arabica,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,10.0,7.75,84.58,0.0,0,0.0,0,,,
Arabica,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,7.75,84.58,0.0,0,0.0,2,1750.0,1750.0,1750.0
Arabica,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58,0.12,0,0.0,2,1450.0,1700.0,1575.0
Arabica,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,8.08,84.58,0.11,0,0.0,6,1800.0,1800.0,1800.0
Arabica,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,84.58,0.12,0,0.0,2,1300.0,1300.0,1300.0
Arabica,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,84.58,0.11,0,0.0,1,1100.0,1100.0,1100.0
Arabica,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,8.0,84.5,0.1,0,0.0,2,1200.0,1200.0,1200.0
Arabica,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.83,84.5,0.11,0,0.0,1,1750.0,1750.0,1750.0
Arabica,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.92,84.5,0.1,0,0.0,1,1680.0,1680.0,1680.0
Arabica,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,7.92,84.5,0.11,0,0.0,0,1700.0,1700.0,1700.0
Arabica,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.75,84.5,0.12,1,0.0,0,1800.0,1800.0,1800.0
Arabica,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,7.92,84.5,0.0,0,0.0,2,1100.0,1100.0,1100.0
Arabica,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,7.5,84.5,0.11,0,0.0,2,1310.64,1310.64,1310.64
Arabica,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,7.67,84.5,0.11,0,0.0,0,2000.0,2000.0,2000.0
Arabica,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,7.92,84.5,0.12,0,0.0,0,1350.0,1350.0,1350.0
Arabica,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.67,84.5,0.11,0,0.0,4,1500.0,1500.0,1500.0
Arabica,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,10.0,7.83,84.5,0.11,0,0.0,2,,,
Arabica,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10.0,10.0,8.13,84.5,0.0,0,0.0,4,,,
Arabica,8.17,7.67,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,84.5,0.0,2,0.0,0,,,
Arabica,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,7.92,84.42,0.1,0,0.0,3,1300.0,1300.0,1300.0
Arabica,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,8.0,84.42,0.0,0,0.0,3,1400.0,1400.0,1400.0
Arabica,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,10.0,7.67,84.42,0.0,0,0.0,1,,,
Arabica,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,84.42,0.0,0,0.0,3,1600.0,1950.0,1775.0
Arabica,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.75,84.42,0.11,0,0.0,0,1200.0,1200.0,1200.0
Arabica,7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,10.0,7.83,84.42,0.11,0,0.0,1,,,
Arabica,7.75,7.92,7.75,7.67,7.83,7.67,10.0,10.0,10.0,7.83,84.42,0.12,2,0.0,4,900.0,900.0,900.0
Arabica,7.5,7.75,7.83,7.92,7.92,7.75,10.0,10.0,10.0,7.75,84.42,0.2,0,0.0,2,,,
Arabica,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,8.17,84.33,0.11,0,0.0,4,1800.0,1800.0,1800.0
Arabica,7.92,8.0,7.75,7.67,7.67,7.75,10.0,10.0,10.0,7.58,84.33,0.1,0,0.0,3,1500.0,1500.0,1500.0
Arabica,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,7.5,84.33,0.0,0,3.0,5,,,
Arabica,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,7.83,84.33,0.11,0,1.0,2,1500.0,1500.0,1500.0
Arabica,7.67,7.67,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.83,84.33,0.0,0,2.0,4,,,
Arabica,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,7.33,84.33,0.11,6,0.0,0,442.0,442.0,442.0
Arabica,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,8.17,84.33,0.0,0,0.0,0,1800.0,1800.0,1800.0
Arabica,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,7.83,84.33,0.12,0,0.0,1,1700.0,1700.0,1700.0
